symbol	X468VTF.V19	X468VTF.V1	X468VTF.V5.2	X468VTF.V5	X474IDH.V3.2	X474IDH.V3	X474IDH.V9	wt1.lsk	wt2.lsk	wt3.lsk	wt4.lsk
0610005C13Rik	0.5	0.0	4.0	3.0	5.5	4.5	1.5	1.5	4.5	1.5	2.0
0610009B22Rik	1348.0	1696.0	839.0	1707.0	611.0	1077.0	1245.0	1188.0	1158.0	1078.0	1394.0
0610009L18Rik	75.0	88.0	94.0	23.0	61.0	13.0	19.0	38.0	53.0	71.0	67.0
0610010F05Rik	724.0	722.0	1221.0	710.0	1000.0	486.0	641.0	697.0	673.0	759.0	777.0
0610010K14Rik	0.0	0.0	0.1667	0.1667	0.1667	0.1667	0.1667	0.3333	0.3333	0.0	1.0
0610012G03Rik	567.0	797.0	1077.0	178.0	1030.0	134.0	233.0	250.0	245.0	294.0	210.0
0610030E20Rik	982.0	523.0	2024.0	1128.0	2869.0	1283.0	1154.0	1379.0	1357.0	1295.0	1445.0
0610031O16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610038B21Rik	15.0	24.0	7.0	6.0	11.0	3.0	3.0	17.0	9.0	8.0	2.0
0610039H22Rik	137.0	35.0	28.0	60.0	2.0	5.0	28.0	145.0	149.0	176.0	227.0
0610039K10Rik	10.0	11.0	11.0	3.0	12.0	8.0	2.0	16.0	17.0	17.0	9.0
0610040B10Rik	69.0	24.0	52.0	28.0	17.0	11.0	22.0	29.0	24.0	34.0	52.0
0610040F04Rik	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
0610040J01Rik	38.0	6.0	161.0	71.0	458.0	132.0	57.0	7.0	25.0	5.0	12.0
0610043K17Rik	24.0	0.0	9.0	21.0	1.0	5.0	15.0	15.0	29.0	37.0	41.0
1010001N08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110002L01Rik	15.0	4.0	83.0	29.0	92.0	29.0	15.0	19.0	19.0	36.0	29.0
1110004F10Rik	2550.0	3432.0	3093.0	3977.0	2141.0	2697.0	2820.0	2737.0	2771.0	2731.0	2573.0
1110006O24Rik	48.0	23.0	47.0	65.0	31.0	30.0	60.0	90.0	89.0	53.0	86.0
1110008L16Rik	417.0	238.0	1190.0	875.0	766.0	627.0	617.0	533.0	495.0	437.0	432.0
1110008P14Rik	185.0	222.0	196.0	222.0	329.0	300.0	310.0	194.0	260.0	136.0	114.0
1110012L19Rik	315.0	435.0	555.0	528.0	506.0	352.0	431.0	256.0	322.0	204.0	338.0
1110015O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110019D14Rik	241.0	257.0	127.0	129.0	73.0	67.0	99.0	205.0	150.0	142.0	154.0
1110020A21Rik	29.0	25.5	8.5	15.5	10.5	10.5	9.5	31.5	23.0	33.5	36.0
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110028F11Rik	3.0	5.0	1.0	8.0	10.0	16.0	12.0	50.0	40.0	30.0	22.0
1110028F18Rik	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	445.0	261.0	540.0	670.0	324.0	390.0	413.0	671.0	599.0	692.0	799.0
1110032F04Rik	1.0	3.0	8.0	3.0	3.0	0.0	0.0	2.0	6.0	0.0	0.0
1110036E04Rik	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1110038B12Rik	284.5	146.0	262.5	321.0	217.5	192.5	353.0	369.0	297.0	276.5	475.5
1110038F14Rik	1029.0	1091.0	1255.0	1025.0	1069.0	803.0	957.0	1048.0	995.0	1010.0	919.0
1110046J04Rik	0.0	0.0	0.0	0.0	3.0	0.0	0.0	14.0	3.0	3.0	9.0
1110051M20Rik	407.0	315.0	809.0	935.0	376.0	385.0	500.0	586.0	525.0	551.0	538.0
1110058D11Rik	4.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	2.0	0.0	3.0
1110059E24Rik	865.0	1433.0	1269.0	1512.0	891.0	930.0	1072.0	1085.0	988.0	1018.0	1438.0
1110059G10Rik	1109.0	1557.0	976.0	1262.0	797.0	761.0	927.0	1094.0	1059.0	1103.0	1211.0
1110065P20Rik	24.0	10.0	100.0	6.0	83.0	6.0	12.0	3.0	8.0	13.0	13.0
1190005I06Rik	71.0	31.0	70.0	11.0	10.0	0.0	20.0	9.0	13.0	24.0	34.0
1190007I07Rik	19.3333	16.6667	25.0	20.6667	20.3333	10.6667	23.6667	23.6667	20.6667	18.3333	18.3333
1300002E11Rik	143.5	75.0	88.5	100.0	46.5	42.0	68.0	138.5	129.5	127.0	196.5
1300017J02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	4.0	1.0	0.0
1500004A13Rik	18.0	0.0	161.0	42.0	144.0	56.0	32.0	30.0	29.0	42.0	23.0
1500009C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1500009L16Rik	586.0	877.0	773.0	1022.0	116.0	116.0	619.0	442.0	363.0	363.0	515.0
1500011B03Rik	339.5	229.0	434.0	397.0	217.5	212.0	359.5	421.0	418.0	523.0	715.0
1500012K07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	3.5
1500015A07Rik	172.0	118.0	186.0	199.0	228.0	194.0	202.0	216.0	241.0	251.0	314.0
1500015L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1500015O10Rik	0.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
1500026H17Rik	14.0	11.0	2.0	2.0	3.0	1.0	4.0	25.0	15.0	23.0	42.0
1600002D24Rik	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
1600002K03Rik	247.0	241.0	333.0	332.0	320.0	306.0	305.0	299.0	275.0	173.0	178.0
1600010M07Rik	84.0	149.0	129.0	170.0	55.0	73.0	181.0	5.0	35.0	5.0	28.0
1600012H06Rik	0.0	0.0	1.0	2.0	3.25	1.5	0.75	0.0	1.5	0.5	0.5
1600014C10Rik	0.0	0.0	18.0	3.5	17.5	5.0	4.0	1.5	1.5	0.5	0.5
1600014C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600019K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600020E01Rik	4.0	2.5	29.5	4.0	25.0	3.0	1.5	4.0	3.5	1.5	6.5
1600023N17Rik	15.0	25.0	11.0	15.0	32.0	26.0	16.0	30.0	22.0	25.0	54.0
1600025M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600027J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600029I14Rik	1.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	2.0	0.0
1600029O15Rik	13.0	16.0	9.0	8.0	3.0	5.0	8.0	4.0	7.0	12.0	9.0
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	0.0	0.5	3.5	2.0	0.5	1.0	2.0	2.5	3.0	0.5	0.5
1700001D01Rik	0.0	0.0	0.0	5.0	0.0	12.0	6.0	4.0	4.0	1.0	5.0
1700001F09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001G01Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0
1700001G11Rik	36.0	28.0	6.0	18.0	10.0	3.0	3.0	9.0	7.0	17.0	6.0
1700001G17Rik	4.0	8.0	11.0	17.0	16.0	15.0	16.0	24.0	24.0	46.0	44.0
1700001J03Rik	0.0	0.0	1.0	3.0	1.0	1.0	0.0	9.0	5.0	6.0	17.0
1700001J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001K19Rik	9.0	0.0	12.0	9.0	6.0	7.0	4.0	17.0	10.0	6.0	28.0
1700001K23Rik	0.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	10.0
1700001L05Rik	121.0	57.0	263.0	159.0	228.0	82.0	136.0	105.0	130.0	91.0	88.0
1700001L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1700001O22Rik	0.0	0.0	6.6667	0.0	1.0	0.0	0.0	0.0	0.3333	0.3333	0.0
1700001P01Rik	0.0	0.0	1.0	1.0	5.0	3.0	7.0	14.0	5.0	2.0	4.0
1700003C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1700003D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700003E16Rik	0.0	0.0	5.0	4.0	8.0	8.0	0.0	1.0	0.0	2.0	0.0
1700003E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700003F12Rik	0.0	0.0	2.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	1.0
1700003G18Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0
1700003H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700003I22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700003M07Rik	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700003P14Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700006A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700006F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700006H21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700007F19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700007J10Rik	5.0	1.0	5.0	2.0	6.0	4.0	3.0	9.0	5.0	5.0	10.0
1700007K13Rik	1.0	0.0	6.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
1700007L15Rik	113.0	86.0	73.0	138.0	67.0	83.0	75.0	140.0	119.0	133.0	154.0
1700007P06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700008C04Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700008J07Rik	191.0	89.0	210.0	141.0	139.0	80.0	117.0	152.0	137.0	195.0	260.0
1700008K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	24.0	10.0	50.0	29.0	34.0	23.0	34.0	50.0	33.0	59.0	60.0
1700008P02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700009C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700009J07Rik	0.0	14.0	92.0	81.0	36.0	15.0	77.0	3.0	2.0	0.0	3.0
1700009N14Rik	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0
1700010B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1700010D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700010I02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700010I14Rik	29.0	45.0	80.0	104.0	237.0	266.0	91.0	61.0	123.0	110.0	79.0
1700010J16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700010K23Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700011B04Rik	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1700011C11Rik	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1700011L22Rik	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
1700011M02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700012A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700012B07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1700012B09Rik	1.0	6.0	9.0	7.0	110.0	46.0	10.0	10.0	3.0	2.0	4.0
1700012C14Rik	10.0	0.0	4.0	4.0	0.0	0.0	3.0	12.0	6.0	9.0	14.0
1700012D01Rik	90.0	61.0	40.0	27.0	42.0	42.0	27.0	109.0	54.0	60.0	130.0
1700012D14Rik	25.0	20.0	30.0	45.0	29.0	38.0	35.0	62.0	58.0	44.0	92.0
1700012D16Rik	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
1700012H19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
1700012I11Rik	0.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	2.0	8.0
1700012P22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013D24Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013H16Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1700015F17Rik	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
1700016C15Rik	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	4.0	3.0
1700016D06Rik	1.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	3.0	1.0
1700016G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1700016H13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700016K19Rik	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	8.0
1700016L04Rik	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	4.0
1700016L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700016P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1700017B05Rik	1220.0	386.0	3760.0	1376.0	2615.0	907.0	1355.0	1531.0	1423.0	1503.0	1144.0
1700017D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700017G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0
1700017J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700017L05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700017N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
1700018B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018B24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018F24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018L02Rik	12.0	4.0	18.0	4.0	9.0	4.0	1.0	9.0	6.0	23.0	12.0
1700019A02Rik	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0
1700019C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	0.0	0.0	1.0	2.0	0.0	0.0	1.0	2.0	7.0	0.0	4.0
1700019E08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1700019M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019N19Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020A23Rik	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.5
1700020D05Rik	2.0	1.0	20.0	3.0	41.0	7.0	2.0	11.0	13.0	2.0	2.0
1700020G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1700020I14Rik	23.0	22.0	33.0	54.0	36.0	54.5	43.5	47.5	35.0	32.5	55.5
1700020L24Rik	109.0	139.0	412.0	35.0	2214.0	182.0	73.0	90.0	77.0	50.0	42.0
1700020M21Rik	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0
1700020N01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020N18Rik	22.0	1.0	15.0	9.0	1.0	0.0	0.0	9.0	13.0	6.0	9.0
1700021F05Rik	250.0	220.0	357.0	657.0	372.0	605.0	523.0	475.0	472.0	489.0	382.0
1700021F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700021N21Rik	5.0	9.0	2.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0
1700022A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700022A22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700022E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700022H01Rik	0.0	1.0	3.0	3.0	0.0	1.0	0.0	8.0	0.0	3.0	0.0
1700022H16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700022I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
1700023C21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700023F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700023F06Rik	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	2.0
1700024B18Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700024F13Rik	12.0	14.0	11.0	17.0	3.0	3.0	8.0	1.0	3.0	2.0	1.0
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024I08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025F22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1700025F24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025G04Rik	2120.0	1380.0	4400.0	2206.0	1827.0	535.0	1522.0	1135.0	979.0	959.0	989.0
1700025J12Rik	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
1700025K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025M24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.0	0.0
1700025N23Rik	12.0	1.0	7.0	12.0	4.0	4.0	27.0	38.0	29.0	39.0	87.0
1700026D11Rik	0.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1700026F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700026J14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700027A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700027F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1700027F09Rik	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700027H10Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1700027I24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700027J07Rik	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	2.0	4.0	19.0
1700028B04Rik	7.0	10.0	7.0	8.0	6.0	5.0	13.0	6.0	10.0	10.0	14.0
1700028D13Rik	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700028E10Rik	0.0	1.0	2.5	0.0	6.5	4.0	2.0	9.0	10.5	10.5	18.5
1700028I16Rik	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1700028J19Rik	16.0	4.0	31.0	73.0	22.0	48.0	26.0	28.0	38.0	9.0	42.0
1700028K03Rik	9.5	0.0	11.5	5.0	11.5	6.5	8.5	26.5	16.0	23.0	25.5
1700028M03Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700028P14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700028P15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029F12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
1700029H14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029I15Rik	23.0	6.0	11.0	16.0	11.0	10.0	13.0	25.0	26.0	19.0	28.0
1700029J03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029J07Rik	41.0	36.0	60.0	61.0	21.0	21.0	35.0	173.0	77.0	145.0	146.0
1700029M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029N11Rik	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029P11Rik	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
1700030A11Rik	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
1700030C10Rik	32.0	0.0	43.0	28.0	0.0	0.0	0.0	7.0	3.0	1.0	1.0
1700030F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700030J22Rik	25.0	3.0	36.0	31.0	19.0	11.0	12.0	8.0	15.0	6.0	11.0
1700030K09Rik	178.0	79.0	690.0	478.0	497.0	428.0	320.0	289.0	327.0	244.0	360.0
1700030L20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700030M09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700030N03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700030O20Rik	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700031A10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1700031F05Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1700031M16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700031P21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034E13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1700034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034H15Rik	1.0	1.0	8.0	3.0	6.0	0.0	1.0	5.0	5.0	3.0	11.0
1700034I23Rik	0.0	0.0	0.0	3.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0
1700034J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034K08Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034P13Rik	1.0	0.0	3.0	7.0	5.0	7.0	11.0	1.0	4.0	2.0	5.0
1700036G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1700037C18Rik	51.0	38.0	144.0	112.0	94.0	118.0	124.0	93.0	99.0	81.0	115.0
1700037H04Rik	1480.0	916.0	2308.0	2564.0	2288.0	2413.0	2423.0	1382.0	1768.0	1178.0	865.0
1700039E22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700041A01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700041C23Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700041M19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700042G07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700042G15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700042O10Rik	0.0	0.0	3.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0
1700044C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700044K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700045H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1700046C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700047A11Rik	5.0	3.0	1.0	3.0	0.0	0.0	1.0	9.0	3.0	5.0	14.0
